group,form,quality,majority,new_input,output,wall_clock_s,cerebellum_substantive_rate
G4-a,v4-flash alone,3/3 scenarios PASS,3/3,73314,47906,371,-
G4-b,v4-flash + 14B sub-agent,3/3 PASS (with fallback),3/3,85741,83344,2995,8/21 (~38%)
